color_name,R,G,B
Red,255,0,0
Green,0,255,0
Blue,0,0,255
White,255,255,255
Black,0,0,0
Yellow,255,255,0
Cyan,0,255,255
Magenta,255,0,255
Gray,128,128,128
Orange,255,165,0
Purple,128,0,128
Brown,165,42,42
burlywood2,238,197,145
antiquewhite (SVG),250,235,215
cool copper,217,135,25
eggshell,252,230,201
cadmiumyellow,255,153,18
burlywood1,255,211,155
antiquewhite4,139,131,120
cappuccino,178,134,71
rawumber,115,74,18
navajowhite4,139,121,94
navajowhite3,205,179,139
navajowhite2,238,207,161
kumquat,220,137,9
bread,252,213,156
peach,254,240,219
cinnamon (Hex3),170,102,0
aureolineyellow,255,168,36
cheddar,255,196,105
navajowhite (SVG),255,222,173
blanchedalmond (SVG),255,235,205
bronzeii,166,125,61
beach sand,238,214,175
color_name,R,G,B
darkcherryred,51,0,0
bloodred,102,0,0
maroon,128,0,0
darkred,139,0,0
red3,205,0,0
red2,238,0,0
red,255,0,0
firebrick1,255,48,48
